first_name,last_name,birth_date,gender,driver_licence_number,expiry_date,license_plate_number
Paton,Midlar,11/4/1995,Male,1868577990,11/9/2032,DEF456
Lars,Rhule,3/12/2002,Male,9705540858,3/8/2035,ABC123
Donnie,Irlam,5/16/1960,Male,1869657617,7/20/2023,DEF456
Bennie,Barlie,10/31/2003,Female,1250707013,10/4/2034,ABC123
Tasha,Waleran,6/3/1979,Female,7268627749,8/6/2026,DEF456
Lorilyn,Standall,1/9/1962,Female,6663169599,6/27/2025,ABC123
Manfred,O'Kuddyhy,12/24/1958,Male,5214311826,9/19/2033,DEF456
Mortimer,Callander,3/11/1958,Male,6573301527,10/28/2029,ABC123
Velma,Moyser,12/28/1991,Female,1065632095,8/20/2027,ABC123
Winnie,Geere,8/6/1973,Non-binary,7178095979,10/6/2030,XYZ789
Jackquelin,Pardie,10/23/1975,Female,3576206304,8/8/2026,ABC123
Kalie,Stockow,2/5/1986,Female,5184770460,11/11/2035,XYZ789
Aldon,Quarlis,1/6/1976,Male,5680923371,4/24/2034,ABC123
Bart,Comer,4/30/1996,Male,7910809082,12/14/2029,XYZ789
Pierce,Kennefick,10/2/1990,Male,7795793954,7/17/2027,XYZ789
Marmaduke,D'orsay,4/7/2002,Male,8858316385,3/9/2032,XYZ789
Stefa,Costell,5/1/1995,Female,9693071899,6/8/2031,ABC123
Burnard,Retchford,8/8/1998,Male,5894910825,1/27/2030,ABC123
Alaster,MacFarlane,11/8/1958,Male,2372475017,12/21/2023,ABC123
Brigg,Murkus,3/20/1955,Male,7196264397,5/31/2029,ABC123
Lorilee,Lancashire,2/16/1990,Female,2150723937,7/15/2033,DEF456
Lotty,MacDermid,6/5/1980,Female,8788175734,9/28/2024,DEF456
Claiborne,Osbourn,6/18/1983,Male,6066161665,4/7/2031,XYZ789
Case,Paulino,1/16/1997,Male,1991699899,12/17/2027,DEF456
Freddi,Marusyak,10/14/1962,Female,9134090550,4/18/2029,ABC123
Elayne,Braisher,3/14/1982,Female,1245577898,12/30/2025,XYZ789
Ashien,M'Barron,4/1/1986,Non-binary,7065721674,11/9/2034,XYZ789
Donny,Keenlayside,7/11/1986,Male,4246013493,6/28/2023,DEF456
Minerva,BoHlingolsen,11/26/1951,Female,1810069930,2/23/2029,DEF456
Mireielle,Lucas,5/19/1997,Female,3484352170,5/30/2028,DEF456
Rick,Geraud,6/24/1954,Male,7001287844,8/1/2034,DEF456
Jerald,Kibbee,4/5/1953,Male,9463208572,11/27/2035,ABC123
Orlan,Pickerin,12/7/1963,Male,9173357222,8/8/2023,ABC123
Beau,Kirman,6/1/1974,Male,7489482556,1/15/2032,XYZ789
Carole,Finlayson,5/14/1963,Female,5149395997,11/18/2033,XYZ789
Devland,Zimmermeister,10/30/1951,Male,8812376126,5/17/2034,XYZ789
Thurstan,MacDonough,3/19/1989,Male,7952718546,6/16/2023,XYZ789
Corbin,Jacks,9/11/1955,Genderfluid,4615026690,2/5/2030,XYZ789
Kalli,Coward,4/9/1980,Female,5112447676,12/15/2029,ABC123
Jareb,Caple,7/17/1969,Male,9678997907,4/29/2030,XYZ789
Allyson,Raddin,1/14/1972,Female,1980373315,6/10/2024,ABC123
Hettie,Summerside,9/9/1997,Female,6674063874,12/12/2033,XYZ789
Willem,Cresser,12/25/1992,Male,2027433683,4/14/2034,ABC123
Rawley,Craisford,9/11/1999,Male,5269229090,3/5/2023,DEF456
Blisse,Mansuer,5/25/2001,Female,5680925061,1/6/2023,XYZ789
Justina,Giuroni,7/27/1951,Female,3941780448,2/28/2027,ABC123
Kippy,Blose,9/1/2000,Female,9592637246,6/9/2031,DEF456
Barnabas,Zorer,11/11/1998,Male,3056468448,10/16/2023,XYZ789
Stormi,Linkleter,1/3/1976,Female,3951239400,12/17/2026,DEF456
Dinnie,Hutchinges,4/26/1959,Female,1828425842,4/25/2033,ABC123
